Name,Total_ct,ERP002469,ERP003612,ERP004605,ERP005534,ERP005860,ERP005989,ERP008729,ERP009131,ERP010700,ERP012177,ERP012929,ERP012929a,ERP012929b,ERP013562,ERP013933,ERP016813,SRP008047,SRP011011,SRP045211,SRP056054,SRP066479,SRP067325,SRP069019,SRP076620,SRP080787,SRP090628,SRP090628a,SRP090628b,SRP096283,SRP096283a,SRP096283b,SRP100446,SRP100575
ERP012929,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ERP012929a,1441529.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1102297.0,704049.0,728897.0,587193.0,524528.0,669320.0,415705.0,144282.0,236913.0,322939.0,64426.0,239858.0,504822.0,212257.0,167357.0,170304.0,-1.0,527646.0,537566.0,337025.0,440106.0
ERP012929b,1500471.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,729623.0,753482.0,598776.0,534172.0,682836.0,438696.0,151961.0,237169.0,334604.0,71504.0,244149.0,519102.0,218089.0,178060.0,173013.0,-1.0,527440.0,538001.0,350275.0,452994.0
ERP013562,1277629.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,675248.0,742007.0,644722.0,806935.0,517810.0,150596.0,181594.0,313647.0,90840.0,262073.0,419259.0,203467.0,169764.0,169833.0,-1.0,372951.0,377992.0,372395.0,518799.0
ERP013933,1233311.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,586175.0,505021.0,633021.0,410471.0,150361.0,179259.0,336535.0,56129.0,253134.0,435103.0,182573.0,154981.0,158298.0,-1.0,418041.0,425100.0,367836.0,433771.0
ERP016813,1099504.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,608848.0,720116.0,503661.0,144362.0,153845.0,296814.0,78861.0,242631.0,363268.0,172820.0,147248.0,154947.0,-1.0,312547.0,317262.0,355086.0,493761.0
SRP008047,920430.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,635459.0,447652.0,135402.0,149413.0,273578.0,74203.0,230498.0,322614.0,166719.0,144671.0,150106.0,-1.0,304198.0,310883.0,317123.0,448561.0
SRP011011,1208970.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,500043.0,145403.0,170611.0,297654.0,84038.0,254033.0,393630.0,187368.0,159911.0,160158.0,-1.0,364360.0,365787.0,354376.0,495888.0
SRP045211,868608.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,139109.0,136064.0,246442.0,77987.0,219457.0,294617.0,152605.0,142508.0,137302.0,-1.0,229460.0,232379.0,310299.0,390716.0
SRP056054,261502.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64179.0,104669.0,25887.0,122260.0,110495.0,82557.0,83351.0,84848.0,-1.0,110299.0,107378.0,120781.0,128741.0
